jobId,jobTitle,careerCluster,seniorityLevel,description,requiredSkills,skillCount,certifications,topRelatedRoles
job-015-appdynamics-engineer,AppDynamics Engineer,Cloud & DevOps Engineering,Mid Level,Monitors application performance using AppDynamics tools while providing insights into application health/performance metrics.,AppDynamics; Application Performance Monitoring; Troubleshooting; Java; NET; Cloud Computing; Metrics; Alerting,8,AppDynamics Certification; Cisco Application Centric Infrastructure (ACI),New Relic Engineer; Datadog Engineer; Prometheus Engineer; Grafana Engineer; SonarQube Engineer
job-016-application-designer,Application Designer,Backend & Software Development,Mid Level,"Designs software applications, ensuring usability and functionality.",Application Design; UI/UX Principles; Programming Languages; Software Architecture,4,Google UX Design Certificate; Nielsen Norman Group UX Certification,Software Development Engineer; Software Architect; Lead Programmer; Application Engineer; API Developer
job-017-application-engineer,Application Engineer,Backend & Software Development,Mid Level,"Develops and maintains software applications, troubleshooting issues and ensuring stability.",Application Development; Programming Languages; Troubleshooting; System Administration,4,AWS Certified DevOps Engineer; Google Cloud Professional Data Engineer,Software Development Engineer; Software Architect; Lead Programmer; Application Designer; API Developer
job-018-application-security-engineer,Application Security Engineer,Cybersecurity,Mid Level,Focuses on securing applications through vulnerability assessments/pentesting while implementing security best practices.,Application Security; SAST; DAST; Penetration Testing; Vulnerability Management; OWASP; Secure Coding; Cloud Security; Security Protocols; Secure Coding Practices; Compliance,11,Certified Information Systems Security Professional (CISSP); Certified Ethical Hacker (CEH); Offensive Security Certified Professional (OSCP),Security Specialist; Information Security Analyst; Cloud Security Engineer; Mobile Security Specialist; IT Security Specialist
job-019-art-director,Art Director,"Game, VFX & Creative Production",Executive / Director,"Leads art teams, providing visual direction and ensuring aesthetic consistency.",Art Direction; Visual Design; Team Leadership; Project Management,4,Adobe Certified Professional in Photoshop & Illustrator; Gnomon School of Visual Effects Certification,Graphic Effects Supervisor; Animation Director
job-020-artifactory-administrator,Artifactory Administrator,Cloud & DevOps Engineering,Mid Level,"Manages the Artifactory repository for build artifacts. Responsibilities include configuring repositories, managing access permissions, and integrating with CI/CD pipelines.",Artifactory; CI/CD; Jenkins; Docker; Maven; Gradle; Build Automation; Version Control; Git; Cloud Computing; Linux; JFrog CLI; Repository Management; DevOps Tools; CI/CD Pipelines,15,JFrog Artifactory Certification; DevOps Institute Certifications; JFrog Certified DevOps Engineer; AWS Certified DevOps Engineer - Professional,Artifactory Engineer; Build Engineer; Build and Release Engineer; Senior Build Engineer; Jenkins Engineer
job-021-artifactory-engineer,Artifactory Engineer,Cloud & DevOps Engineering,Mid Level,Manages Artifactory repositories while integrating them into CI/CD pipelines to ensure efficient artifact management.,Artifactory; CI/CD; Jenkins; Maven; Gradle; Docker; Build Automation; Version Control; Git; Cloud Computing; Linux; DevOps Practices; Continuous Integration; Software Packaging,14,JFrog Artifactory Certification; DevOps Institute Certifications; JFrog Certified DevOps Engineer; AWS Certified DevOps Engineer - Professional,Artifactory Administrator; Build Engineer; Senior Build Engineer; Jenkins Engineer; Nexus Engineer
job-022-artificial-intelligence-machine-learning-leader,Artificial Intelligence / Machine Learning Leader,AI & Machine Learning,Mid Level,"Leads AI/ML projects and teams, defining strategy and overseeing implementation. Requires strong leadership skills and knowledge of AI technologies.",AI Strategy; Machine Learning; Team Management; Project Management; Cloud Computing; Data Science; Deep Learning; Communication; Budgeting; Stakeholder Management; AI/ML Frameworks; Leadership; Strategic Planning,13,AI-900: Microsoft Azure AI Fundamentals; Certified Artificial Intelligence Practitioner (CAIP); Google TensorFlow Developer Certificate; Microsoft Certified: Azure AI Engineer Associate; AWS Certified Machine Learning - Specialty,Artificial Intelligence / Machine Learning Sr.Leader; Principle Engineer in Artificial Intelligence; Artificial intelligence Architect; Principle Engineer in Machine Learning; Machine learning Architect
job-023-artificial-intelligence-machine-learning-sr-leader,Artificial Intelligence / Machine Learning Sr.Leader,AI & Machine Learning,Senior,"Senior role overseeing multiple AI/ML initiatives. Responsible for strategic planning, team management, and ensuring alignment with business goals.",AI Strategy; Machine Learning; Team Management; Project Management; Cloud Computing; Data Science; Deep Learning; Communication; Budgeting; Stakeholder Management; Innovation; Mentoring; Advanced AI/ML; Leadership; Strategic Vision,15,Certified Artificial Intelligence Practitioner (CAIP); AI-900: Microsoft Azure AI Fundamentals; Google TensorFlow Developer Certificate; Microsoft Certified: Azure AI Engineer Associate; AWS Certified Machine Learning - Specialty,Artificial Intelligence / Machine Learning Leader; Principle Engineer in Artificial Intelligence; Principle Engineer in Machine Learning; Machine learning Architect; Artificial intelligence Architect
job-024-artificial-intelligence-architect,Artificial intelligence Architect,AI & Machine Learning,Senior,"Designs AI systems and architecture. Responsible for selecting appropriate technologies, ensuring scalability, and integrating AI solutions into existing systems.",AI Architecture; Machine Learning; Cloud Computing; Data Science; Deep Learning; System Design; AWS; Azure; Scalability; Security; Model Deployment; AI/ML Frameworks; System Architecture; Data Modeling,14,Google Cloud Professional Machine Learning Engineer; AWS Certified Solutions Architect – Professional; Google Professional Machine Learning Engineer; Microsoft Certified: Azure AI Engineer Associate,Machine learning Architect; Principle Engineer in Artificial Intelligence; Artificial Intelligence / Machine Learning Leader; Principle Engineer in Machine Learning; Machine Learning Engineer
job-025-artificial-intelligence-engineer,Artificial Intelligence Engineer,AI & Machine Learning,Mid Level,"Develops AI models and applications, implementing machine learning algorithms.",AI/ML Algorithms; Python; Deep Learning; Neural Networks,4,TensorFlow Developer Certificate; AWS Certified Machine Learning - Specialty,AI Researcher; Artificial Intelligence Researcher; Principle Engineer in Machine Learning; Natural Language Processing Engineer; Principle Engineer in Artificial Intelligence
job-026-artificial-intelligence-researcher,Artificial Intelligence Researcher,AI & Machine Learning,Mid Level,Conducts research in AI to develop new algorithms and models. Publishes findings in scientific journals and collaborates with academic institutions.,Machine Learning; Deep Learning; Research Methods; Python; TensorFlow; PyTorch; Data Analysis; Statistical Analysis; Algorithm Design; Scientific Writing; Research Methodologies; AI/ML Algorithms,12,Certified Data Scientist (CDS); IEEE Certified Artificial Intelligence Engineer; IBM AI Engineering Professional Certificate; Stanford AI Certificate (Online),AI Researcher; Machine Learning Engineer; Artificial Intelligence Engineer; Principle Engineer in Machine Learning; Principle Engineer in Artificial Intelligence
job-027-automation-specialist,Automation Specialist,General IT & Software,Mid Level,Designs and implements automation solutions to improve efficiency and reduce manual effort.,Automation Tools; Scripting; Process Improvement; Testing,4,Google Apigee Certification; AWS Certified Developer - Associate,
job-028-aws-devops-engineer,AWS DevOps Engineer,Cloud & DevOps Engineering,Mid Level,Implements DevOps practices on AWS platform while utilizing services like EC2/S3/Lambda to automate deployments.,AWS; DevOps; CI/CD; Terraform; Ansible; CloudFormation; Docker; Kubernetes; Linux; Automation; Scripting; AWS Services; DevOps Practices; CI/CD Pipelines,14,AWS Certified DevOps Engineer - Professional; Docker Certified Associate; AWS Certified Solutions Architect - Associate,GCP DevOps Engineer; Azure DevOps Engineer; Ansible Operations Engineer; DevOps Engineer; Jenkins Engineer
job-029-aws-solutions-architect,AWS Solutions Architect,Cloud & DevOps Engineering,Senior,Designs scalable cloud architectures on AWS platform while providing guidance on best practices/security compliance.,AWS; Cloud Architecture; AWS Lambda; EC2; S3; CloudFormation; DevOps; Terraform; Security; Cloud Security; Networking; AWS Services; Solution Design; Cost Optimization,14,AWS Certified Solutions Architect - Associate; AWS Certified Solutions Architect - Professional; AWS Certified Solutions Architect - Associate / Professional,Cloud Architect; AWS DevOps Engineer; Senior DevOps Architect; DevOps Architect; Senior Cloud Architect
job-030-azure-devops-engineer,Azure DevOps Engineer,Cloud & DevOps Engineering,Mid Level,Implements DevOps solutions on Azure platform while utilizing Azure DevOps services/tools to automate deployments.,Azure; DevOps; CI/CD; Terraform; Ansible; ARM Templates; Docker; Kubernetes; Linux; Automation; Scripting; Azure Services; DevOps Practices; CI/CD Pipelines,14,Microsoft Certified: Azure DevOps Solutions Expert; Azure Fundamentals; Microsoft Certified: DevOps Engineer Expert; Azure Administrator Associate,GCP DevOps Engineer; AWS DevOps Engineer; DevOps Engineer; Jenkins Engineer; Ansible Operations Engineer
job-031-back-end-developer,Back End Developer,Backend & Software Development,Mid Level,Develops the server-side logic and APIs for web applications.,Server-Side Programming; Databases; API Development; Frameworks,4,AWS Certified Developer - Associate; Oracle Certified Java Developer,Mulesoft Developer
job-032-bamboo-engineer,Bamboo Engineer,Cloud & DevOps Engineering,Mid Level,"Manages CI/CD processes using Bamboo. Responsibilities include configuring build plans, integrating with version control systems, and ensuring smooth deployment pipelines.",Bamboo; CI/CD; Atlassian Suite; Automation; Scripting; Build Automation; Version Control; Git; CI/CD Pipelines; Software Configuration Management,10,Atlassian Bamboo Certification; CI/CD Certifications; Atlassian Bamboo Certification (if available); AWS Certified DevOps Engineer - Professional,GitLab Engineer; Build Engineer; Senior Build Engineer; MAVEN Engineer; Gradle Engineer
job-033-big-data-architect,Big Data Architect,Big Data Engineering,Senior,"Designs big data solutions and architecture. Responsible for data modeling, ETL processes, and ensuring the performance of big data systems.",Hadoop; Spark; Kafka; MapReduce; NoSQL; Data Warehousing; Cloud Computing; AWS; Azure; Data Lakes; Data Modeling; ETL; Data Governance; Security; Big Data Technologies; System Design,16,Cloudera Certified Data Architect; AWS Certified Solutions Architect – Associate; Google Cloud Professional Data Engineer; Cloudera Certified Data Engineer; AWS Certified Big Data - Specialty,Admin Big Data; Big Data Specialist; Principle Engineer in Big Data; Big Data Engineer
job-034-big-data-engineer,Big Data Engineer,Big Data Engineering,Mid Level,"Builds and maintains big data pipelines. Responsible for data ingestion, transformation, and storage using technologies like Hadoop and Spark.",Hadoop; Spark; Kafka; SQL; NoSQL; Python; Java; Scala; Data Pipelines; ETL; Data Warehousing; Cloud Computing; ETL Processes; Data Processing; Database Management,15,Google Cloud Professional Data Engineer; AWS Certified Big Data – Specialty; Cloudera Certified Data Engineer; AWS Certified Big Data - Specialty,Big Data Architect; Admin Big Data; Big Data Specialist; Principle Engineer in Big Data
job-035-big-data-specialist,Big Data Specialist,Big Data Engineering,Mid Level,Analyzes large datasets to extract insights. Requires knowledge of statistical analysis tools and big data technologies.,Hadoop; Spark; Data Analysis; Data Visualization; SQL; NoSQL; Data Modeling; ETL; Cloud Computing; Data Mining; Statistical Analysis; Big Data Technologies,12,Certified Big Data Analytics (CBDA); IBM Certified Data Engineer - Big Data; Google Cloud Professional Data Engineer; Cloudera Certified Data Engineer; AWS Certified Big Data - Specialty,Big Data Architect; Admin Big Data; Big Data Engineer; Principle Engineer in Big Data
job-036-bitbucket-engineer,Bitbucket Engineer,Software Development (General),Mid Level,"Administers Bitbucket repositories for version control. Responsible for managing user permissions, branch strategies, and pull requests.",Bitbucket; Git; Version Control; CI/CD; Atlassian Suite; Branching Strategies; Code Review; CI/CD Integration,8,Atlassian Bitbucket Certification; GitHub Proficiency Certifications; Atlassian Certified Bitbucket Administrator,Git Engineer; UDeploy Engineer; Software Engineer; New Grad Software Engineer; Junior Software Engineer
job-037-blockchain-developer,Blockchain Developer,Blockchain & Emerging Tech,Mid Level,Develops blockchain-based applications and smart contracts. Requires knowledge of blockchain frameworks such as Ethereum and programming languages like Solidity.,Blockchain; Ethereum; Smart Contracts; Solidity; Cryptocurrency; Distributed Ledger; Consensus Algorithms; Web3; JavaScript; Node.js; Blockchain Technologies; Cryptography,12,Certified Blockchain Developer; Ethereum Developer Certification; Certified Blockchain Developer (CBDE); Ethereum Developer Certification (Consensys Academy),
job-038-build-and-release-engineer,Build and Release Engineer,Cloud & DevOps Engineering,Mid Level,"Manages the build process for software applications. Responsible for automating builds, managing release schedules, and ensuring software quality.",CI/CD; Jenkins; Git; Maven; Gradle; Docker; Kubernetes; Automation; Scripting; Linux; Build Tools; CI/CD Pipelines; Build Systems; Configuration Management,14,Certified Jenkins Engineer; AWS Certified DevOps Engineer – Professional; AWS Certified DevOps Engineer - Professional; Google Cloud DevOps Engineer,Senior Build and Release Engineer; Build Engineer; Senior Build Engineer; Jenkins Engineer; DevOps Engineer
job-039-build-engineer,Build Engineer,Cloud & DevOps Engineering,Mid Level,Focuses on building software applications from source code. Responsibilities include configuring build environments and troubleshooting build issues.,Maven; Gradle; Ant; Jenkins; CI/CD; Git; Build Automation; Scripting; Linux; Version Control; Build Systems; Automation; Software Configuration Management,13,AWS Certified Developer – Associate; Jenkins Certification; AWS Certified DevOps Engineer - Professional; Google Cloud DevOps Engineer,Senior Build Engineer; Build and Release Engineer; Senior Build and Release Engineer; Bamboo Engineer; Artifactory Engineer
job-040-business-intelligence-analyst,Business Intelligence Analyst,Data Science & Analytics,Mid Level,Analyzes data to provide insights and support business decision-making.,Data Analysis; SQL; Data Visualization; Business Acumen,4,UiPath Certified Professional; Automation Anywhere Certified Advanced RPA Professional,Power BI Analyst; Data Science Specialist; Principle Engineer in Data Analysis; Data Analyst; Power BI Developer
job-041-business-intelligence-developer,Business Intelligence Developer,Data Science & Analytics,Mid Level,"Develops business intelligence solutions, creating reports and dashboards.",Business Intelligence Tools; Data Modeling; SQL; ETL Processes,4,Microsoft Certified: Power BI Data Analyst; Tableau Desktop Specialist,Principle Engineer in Data Analysis; Power BI Developer; Power BI Analyst; Data Analysts; Business Intelligence Analyst
job-042-business-systems-analyst,Business Systems Analyst,Enterprise Systems & ERP/CRM,Mid Level,Analyzes business needs and translates them into technical requirements. Works closely with stakeholders to improve processes and implement technology solutions.,Business Analysis; Requirements Gathering; Process Improvement; Stakeholder Management; SQL; Data Analysis; UML; BPMN; Process Analysis; System Design; Documentation,11,CBAP - Certified Business Analysis Professional; PMI-PBA - PMI Professional in Business Analysis; IIBA Certified Business Analysis Professional (CBAP); PMI Professional in Business Analysis (PMI-PBA),Computer Systems Analyst
job-043-c-developer,C# Developer,Backend & Software Development,Mid Level,"Develops applications using C# and .NET technologies. Responsibilities include designing, coding, testing, and debugging software applications.",C#; NET; ASP.NET; SQL Server; Web API; MVC; Entity Framework; LINQ; Git; Cloud Computing; NET Framework; Software Development; Object-Oriented Programming,13,Microsoft Certified: C# Programmer; NET Framework Certification; Microsoft Certified: Azure Developer Associate; MCSD: App Builder (Retired but relevant),.NET Developer; Java Developer; Sharepoint Developer; Python Developer; Full Stack Python Developer/Programmer/Engineer
job-044-character-designer,Character Designer,"Game, VFX & Creative Production",Mid Level,"Designs characters for animation, games, and other media.",Character Design; Illustration; Drawing; Animation,4,Concept Art Academy Certification; Schoolism Character Design Course,2d Artist/Animator; Visual Effects Animator; Storyboard Artist; Rigging Artist; Unity Developer
job-045-chef-inspec-engineer,Chef InSpec Engineer,Cloud & DevOps Engineering,Mid Level,Utilizes Chef InSpec for compliance automation. Responsible for writing tests to ensure systems meet security and compliance standards.,Chef InSpec; Compliance as Code; Automation; Security; Configuration Management; Linux; Cloud Computing; Compliance Automation; Infrastructure Testing; Ruby,10,Chef InSpec Certification; HashiCorp Terraform Associate; Chef Certified Developer; Chef Certified Automation Engineer,Puppet Operations Engineer; Puppet Engineer; Chef Operations Engineer; OpenShift Engineer; Kubernetes Engineer
job-046-chef-operations-engineer,Chef Operations Engineer,Cloud & DevOps Engineering,Mid Level,"Utilizes Chef for configuration management. Responsible for writing cookbooks, managing infrastructure as code, and automating deployment processes.",Chef; Ruby; Automation; Configuration Management; Linux; Cloud Computing; AWS; Azure; Infrastructure as Code; Infrastructure Management,10,Chef Certification; AWS Certified DevOps Engineer – Professional; Chef Certified Developer; Chef Certified Automation Engineer,Puppet Operations Engineer; Puppet Engineer; Packer Engineer; Senior Ansible Development Engineer; Ansible Automation Engineer
job-047-chief-information-officer,Chief Information Officer,Executive & Technology Leadership,Executive / Director,"Leads IT organizations, defining IT strategy and overseeing IT operations.",IT Strategy; Leadership; Budgeting; Project Management,4,Certified Information Security Manager (CISM); Certified Chief Information Security Officer (CCISO),Chief Information Officer (CIO); Technology Officer; Director of Engineering; Technology Manager; IT Director
job-048-chief-information-officer-cio,Chief Information Officer (CIO),Executive & Technology Leadership,Executive / Director,"Leads IT organizations, defining IT strategy and overseeing IT operations.",IT Strategy; Leadership; Budgeting; Project Management,4,Certified Information Systems Security Professional (CISSP); Certified Chief Information Officer (CCIO),Chief Information Officer; Technology Officer; Director of Engineering; Technology Manager; IT Director
job-049-chief-technology-officer-cto,Chief Technology Officer (CTO),Executive & Technology Leadership,Executive / Director,"Leads technology initiatives, driving innovation and overseeing research and development.",Technology Strategy; Innovation; Research and Development; Team Leadership,4,TOGAF 9 Certified; AWS Certified Solutions Architect - Professional,Technology Officer; Technology Manager; IT Program Engagement Director; IT Director; Integration Director
job-050-cloud-administrator,Cloud administrator,Cloud & DevOps Engineering,Mid Level,"Manages and maintains cloud infrastructure, ensuring availability and performance.",Cloud Computing; AWS; Azure; Google Cloud; Linux; Networking; Security; Automation; Scripting; Virtualization; Cloud Platforms; System Administration,12,CompTIA Cloud+; Cloud Security Alliance CCSK; AWS Certified SysOps Administrator; Microsoft Certified: Azure Administrator Associate,Cloud engineer; OpenStack Engineer; Kubernetes Engineer; kubernetes Administrator; Senior Ansible Development Engineer
job-051-cloud-architect,Cloud Architect,Cloud & DevOps Engineering,Senior,Designs cloud architecture solutions to meet business requirements. Responsible for selecting appropriate cloud services and ensuring scalability/security.,Cloud Architecture; AWS; Azure; Google Cloud; Terraform; Cloud Security; Networking; Microservices; CI/CD; Automation; Docker; Kubernetes; Cloud Platforms; System Architecture; DevOps,15,Google Cloud Professional Cloud Architect; AWS Certified Solutions Architect; AWS Certified Solutions Architect - Professional; Google Professional Cloud Architect,DevOps Architect; Senior DevOps Architect; Senior Cloud Architect; Ansible Operations Engineer; Senior DevOps Engineer
job-052-cloud-automation-engineer,Cloud automation engineer,Cloud & DevOps Engineering,Mid Level,Automates cloud infrastructure management using tools like Terraform or Ansible. Focuses on deploying resources efficiently across cloud environments.,Cloud Computing; Automation; Terraform; Ansible; Python; Scripting; CI/CD; AWS; Azure; Google Cloud; Cloud Automation Tools; Configuration Management; DevOps,13,HashiCorp Terraform Associate; Azure Automation Certifications; AWS Certified DevOps Engineer - Professional; HashiCorp Certified Terraform Associate,DevOps Engineer; Senior DevOps Architect; DevOps Architect; Senior Ansible Development Engineer; Ansible Automation Engineer
job-053-cloud-computing-specialist,Cloud Computing Specialist,Cloud & DevOps Engineering,Mid Level,"Manages and maintains cloud infrastructure, ensuring availability and performance.",Cloud Platforms; Virtualization; System Administration; Security,4,AWS Certified Solutions Architect; Google Professional Cloud Architect,Cloud System Administrator; Cloud administrator; OpenStack Engineer; Cloud engineer; Infrastructure Architect
job-054-cloud-engineer,Cloud engineer,Cloud & DevOps Engineering,Mid Level,"Builds and maintains cloud infrastructure. Responsibilities include configuring cloud services, optimizing performance, and ensuring security compliance.",Cloud Computing; AWS; Azure; Google Cloud; Linux; Networking; Security; Automation; Scripting; Virtualization,10,Google Cloud Associate Cloud Engineering; CompTIA Cloud+,Cloud administrator; Kubernetes Engineer; kubernetes Administrator; Senior Ansible Development Engineer; OpenStack Engineer
job-055-cloud-migration-specialist,Cloud Migration Specialist,Cloud & DevOps Engineering,Mid Level,"Plans and executes cloud migration projects, ensuring smooth transitions.",Cloud Platforms; Migration Tools; System Migration; Project Management,4,Microsoft Certified: Power BI Data Analyst Associate; Tableau Desktop Specialist,Senior IT Consultant; Cloud/Software Developer; Cloud/Software Architect; Cloud/Software Applications Engineer; Cloud System Engineer
job-056-cloud-network-engineer,Cloud network engineer,Cloud & DevOps Engineering,Mid Level,"Designs and manages networking solutions within cloud environments. Focuses on VPCs, subnets, routing configurations, and security groups.",Cloud Networking; AWS; Azure; Google Cloud; VPC; Subnets; Routing; Security Groups; Firewalls; Virtual Networks; Network Security; Cloud Platforms,12,Cisco CCNA Cloud; Cisco CCNP Cloud; Google Professional Cloud Network Engineer; AWS Certified Advanced Networking - Specialty,Terraform Engineer; Cloud administrator; Packer Engineer; Cloud Architect; Senior Cloud Architect
job-057-cloud-security-engineer,Cloud Security Engineer,Cybersecurity,Mid Level,"Implements security measures for cloud environments. Responsibilities include identity management, data protection, and compliance auditing.",Cloud Security; IAM; Identity and Access Management; Encryption; AWS; Azure; GCP; Vulnerability Management; Compliance; Security Protocols; Cloud Platforms,11,Certified Cloud Security Professional (CCSP); CompTIA Security+; AWS Certified Security - Specialty; Google Professional Cloud Security Engineer,Application Security Engineer; Security Specialist; Information Security Analyst; IT Security Specialist; Infosec Analyst/Cybersecurity Analyst
job-058-cloud-system-administrator,Cloud System Administrator,Cloud & DevOps Engineering,Mid Level,"Manages and maintains cloud infrastructure, ensuring availability and performance.",Cloud Platforms; System Administration; Virtualization; Networking,4,Microsoft Certified: Azure Administrator Associate; AWS Certified SysOps Administrator,Cloud Computing Specialist; OpenStack Engineer; Cloud administrator; Nagios Engineer; Operations Engineer
job-059-cloud-system-engineer,Cloud System Engineer,Cloud & DevOps Engineering,Mid Level,"Engineers cloud infrastructure, implementing automation and ensuring system reliability.",Cloud Platforms; System Engineering; Automation; Scripting,4,AWS Certified Advanced Networking - Specialty; Red Hat Certified Specialist in OpenShift Administration,Cloud administrator; Groovy Engineer; Gerrit Engineer; Gerrit Administrator; Ansible Operations Engineer
job-060-cloud-software-applications-engineer,Cloud/Software Applications Engineer,Cloud & DevOps Engineering,Mid Level,Develops and deploys applications on cloud platforms.,Cloud Platforms; Application Development; Cloud Services; DevOps,4,Google Professional Cloud Developer; AWS Certified DevOps Engineer - Professional,Cloud/Software Developer; Cloud/Software Architect; Cloud System Engineer; Cloud System Administrator; Cloud Migration Specialist
job-061-cloud-software-architect,Cloud/Software Architect,Cloud & DevOps Engineering,Senior,Designs and oversees the implementation of cloud computing strategies.,Cloud Platforms; System Architecture; Cloud Security; DevOps,4,AWS Certified Solutions Architect - Professional; Google Professional Cloud Architect,Cloud/Software Applications Engineer; Cloud Architect; DevSecOps Architect; Infrastructure Architect; Cloud/Software Developer
